customerid,average_order_value,time_between_purchases_log,purchase_behavior,churn_probability
CUST_C9M6ZY,62.65,21,13,1
CUST_BV1M6M,181.41,61,9,0
CUST_FUXI8Q,103.64,67,17,1
CUST_QEQ6OU,196.99,14,2,1
CUST_9NRUP5,197.06,36,6,1
CUST_FNSLPE,70.03,69,14,0
CUST_IKLFBS,26.34,36,10,1
CUST_G4ASQ2,59.37,21,10,1
CUST_IDUM6K,73.85,32,17,0
CUST_4LYGW1,44.92,71,10,0
CUST_A8R4U9,167.11,66,6,0
CUST_WZ238N,40.36,19,18,0
CUST_OQAUTP,135.02,10,5,1
CUST_DUBTZZ,130.89,15,19,1
CUST_ODC7DN,157.38,13,3,1
CUST_Q0NIBZ,108.7,27,3,1
CUST_GL89KR,154.18,34,11,0
CUST_DPYH28,189.29,24,7,1
CUST_LEHAO0,143.14,8,14,0
CUST_O9A0Z5,158.28,15,17,1
CUST_IUF60Y,138.34,9,19,0
CUST_4M2KTZ,81.21,75,6,0
CUST_W4HIPP,129.83,49,5,0
CUST_R70ORD,189.6,23,16,1
CUST_CEK6N2,23.66,18,4,1
CUST_S3O805,131.27,74,15,0
CUST_M702RV,45.06,40,14,1
CUST_F3JP57,139.82,74,1,0
CUST_2KJ3HF,140.31,19,8,1
CUST_L2DZMM,114.99,28,8,0
CUST_PUPCAW,185.31,33,1,0
CUST_QBN53X,35.51,32,7,1
CUST_YJ2EJ1,112.21,34,13,0
CUST_7FBFGG,38.78,47,19,0
CUST_YCI6G8,33.41,16,2,1
CUST_978VPW,177.64,55,9,1
CUST_6ZA9R0,162.49,21,3,0
CUST_KFBGEG,59.26,27,9,1
CUST_WJKY66,106.17,21,3,1
CUST_RH5703,85.9,88,17,1
CUST_0TFTCG,26.66,10,1,0
CUST_EFYNBN,50,54,7,1
CUST_4U2BK2,44.98,24,12,0
CUST_0FFM3M,149.69,87,11,0
CUST_7L0NGF,189.34,28,10,0
CUST_CBQOIU,131.99,29,17,1
CUST_SDUT3Z,80.21,27,17,0
CUST_SOTOIR,59.67,33,15,0
CUST_NL0XXY,27.96,49,19,1
CUST_0YNYNX,97.26,18,5,0
CUST_FPSQG6,51.39,43,13,0
CUST_YB0SD8,56.95,22,6,0
CUST_39TYLO,105.36,32,17,1
CUST_69M601,92.5,88,5,1
CUST_FX088D,76.01,48,12,0
CUST_6UQZ8H,84.59,10,15,1
CUST_U1AP5I,91.32,6,3,1
CUST_R2FEDT,81.04,84,15,1
CUST_1F4736,131.1,63,13,0
CUST_JJ4CZQ,150.9,87,9,1
CUST_2XRJMI,188.86,39,17,1
CUST_FPGPYN,186.35,77,4,0
CUST_EGGC35,25.21,78,19,0
CUST_CDT85D,74.08,82,16,0
CUST_T89T5O,104.41,69,17,1
CUST_NNUQYZ,45.9,32,17,0
CUST_SNW5KE,137.38,35,19,1
CUST_10DKJ1,168.08,52,3,0
CUST_SBNCZ0,82.97,38,12,1
CUST_MMXPRX,24.43,7,1,1
CUST_FHAKM2,88.42,25,14,1
CUST_VMVCL3,117.93,39,2,1
CUST_706LSJ,173.47,20,15,0
CUST_CA0FFF,104.84,7,8,0
CUST_P5QX2P,177.95,16,18,0
CUST_F6KI91,100.91,7,3,1
CUST_SDVKB4,53.96,68,10,1
CUST_VMGOIN,113.23,62,10,1
CUST_HUERVX,113.48,47,17,1
CUST_YBLVOW,141.97,5,15,1
CUST_IA0NJY,159.17,15,12,0
CUST_7DM9MD,142.42,47,11,0
CUST_TSMQIG,193.29,55,14,1
CUST_4TQZ0F,76.41,19,14,1
CUST_IWULTF,85.25,67,7,1
CUST_8CC8DB,104.21,13,15,0
CUST_HALQC9,175.14,34,3,1
CUST_N0S8R3,141.9,54,19,1
CUST_DXXIBD,96.67,87,3,1
CUST_HXXEOB,22.04,42,8,0
CUST_7SERW0,136.3,62,9,0
CUST_OD4VVB,109.43,55,4,0
CUST_UQFPGX,39.34,10,1,0
CUST_LI6T8W,38.53,16,8,1
CUST_A9PHFE,175.7,81,16,1
CUST_9L6YOX,46.9,30,10,0
CUST_4TR9DG,143.3,43,12,1
CUST_KCM5MJ,90.92,81,10,0
CUST_1CISC3,30.94,51,12,0
CUST_9H09WF,130.1,21,2,0
CUST_9P6KPG,100.64,23,2,1
CUST_Y1QUU4,67.23,51,7,1
CUST_XFGCBA,57.08,50,1,1
CUST_WHO2UV,45.7,17,2,1
CUST_0ODSJI,131.76,71,10,0
CUST_IW6OY2,42.33,44,16,0
CUST_AK11TA,195.06,87,19,1
CUST_5VDJHE,116.96,12,1,1
CUST_1Q4EHY,159.62,81,6,0
CUST_VQHE6F,21.74,74,13,0
CUST_95B3VT,189.11,16,18,0
CUST_LIBWA0,129.66,69,7,0
CUST_G9RU5J,139.25,48,17,1
CUST_3WYMUK,72.58,83,9,1
CUST_1XNLTD,27.76,77,1,0
CUST_PXOW2A,130.18,28,13,0
CUST_01PSBO,153.42,22,17,1
CUST_EMWFHA,181.15,59,17,0
CUST_OCA9AV,54.6,65,6,0
CUST_UDY4C6,32.5,43,5,1
CUST_6S7W5J,146.46,30,4,1
CUST_L52VCH,185.75,24,4,1
CUST_LMGLKI,88.6,80,6,0
CUST_ORRC8Q,145.94,88,2,1
CUST_72RLKK,56.93,69,4,1
CUST_3SSSQM,40.04,53,5,0
CUST_VKH8K3,73.88,32,16,0
CUST_K5H212,20.51,8,1,0
CUST_N92VEV,178.8,61,2,1
CUST_LTHL7D,136.43,19,3,0
CUST_X90B1A,22.53,86,5,1
CUST_8LP0O6,41.57,52,9,1
CUST_RMGFYZ,50.08,43,16,0
CUST_XZU5L4,160.28,51,3,1
CUST_7DL54F,32.26,51,13,1
CUST_DJN4ZX,53.02,64,9,0
CUST_4DQF00,36.99,62,3,0
CUST_IV40BS,97.04,79,5,1
CUST_3N6U0D,141.34,29,3,1
CUST_1JB1EX,107.89,38,18,0
CUST_CF5G9Y,157.69,80,8,1
CUST_OVE9GV,122.62,62,18,0
CUST_VO5T3Y,116.21,57,3,0
CUST_L5L7FU,105.88,86,15,1
CUST_M05LW4,196.36,84,2,0
CUST_RC22LB,145.04,70,18,0
CUST_RKY270,193.96,80,19,0
CUST_7SYF97,101.31,29,7,1
CUST_YIPEPJ,44.61,61,11,1
CUST_UO5QHX,52.59,30,10,1
CUST_SV1H74,123.76,71,13,1
CUST_VXGTKT,56.68,85,19,1
CUST_RB6RRC,165.46,75,1,0
CUST_409JKX,114.24,55,8,1
CUST_TZYIND,177.83,25,13,1
CUST_1OW5H0,140.29,45,14,1
CUST_IZ126H,167.31,27,12,1
CUST_XYPN3Y,177.41,52,11,1
CUST_6W6D79,84.8,50,12,1
CUST_90K7NP,188.31,80,15,0
CUST_DYCOQF,42,48,15,0
CUST_F79NSC,188.59,65,12,1
CUST_MYREAH,94.05,55,15,1
CUST_89H7N0,168.75,80,12,0
CUST_7ZVBQC,146.97,60,1,0
CUST_WZOA00,198.3,15,13,0
CUST_IK37S2,63.18,44,9,1
CUST_2FE4BG,40.48,74,3,1
CUST_MO30UI,166,23,15,1
CUST_1EBKJT,106.48,86,3,1
CUST_9VVOZW,98.86,61,12,1
CUST_31MQE7,129.19,23,19,0
CUST_IXE8DK,46.88,33,15,0
CUST_K764FK,103.38,84,8,1
CUST_SSWM4Z,130.78,64,7,1
CUST_O4O3P8,163.34,66,6,1
CUST_Z7SY0J,58.01,77,13,0
CUST_CFUR02,50.66,48,4,0
CUST_USEEH3,26.38,54,18,1
CUST_5PMEQX,139.93,86,12,1
CUST_MZ1I4W,198.87,71,11,0
CUST_2J57LB,22.19,88,2,1
CUST_D5P67A,26.74,21,4,0
CUST_DATN7A,43.73,29,15,1
CUST_5SVOIR,167.42,70,19,1
CUST_FZ77S2,163.64,28,10,0
CUST_936157,39.45,9,18,1
CUST_50DEHI,85.9,64,13,0
CUST_UDYJ8S,118.92,25,10,1
CUST_E7K3WB,65.86,59,12,1
CUST_F1GOR3,28.75,54,16,0
CUST_09ZF2L,167.32,10,4,0
CUST_3U10WJ,64.6,33,19,1
CUST_7KEA4I,30.56,83,18,1
CUST_UOUHGS,131.53,65,17,0
CUST_JXM5BG,110.38,77,19,1
CUST_M0O5R6,78.29,35,1,0
CUST_XTOS3O,20.8,38,2,1
CUST_BIU2T7,168.43,13,5,1
CUST_6ORQOE,77.82,86,8,0
CUST_N1EN6Y,120.16,34,3,1
CUST_HUYOO5,107.11,89,5,1
CUST_G0KG65,161.43,17,1,0
CUST_ZBU28L,130.42,81,1,1
CUST_RJB9EU,78.17,26,10,1
CUST_68YWPY,118.65,50,4,0
CUST_3EPJHQ,46.11,59,13,1
CUST_1FCQ5L,47.25,15,11,1
CUST_Q0WHAG,129.85,6,10,0
CUST_DMMVA3,48.13,8,8,0
CUST_S31UHN,49.23,6,7,1
CUST_GG0028,175.36,85,4,1
CUST_A9E2CM,106.56,46,6,0
CUST_MK4CRG,193.61,11,12,1
CUST_76DDSJ,164.58,52,7,0
CUST_Z6TQQH,65.57,38,18,0
CUST_7BZX9D,192.97,35,8,1
CUST_B2I8NG,86.66,60,3,1
CUST_4BCNBJ,101.55,17,9,1
CUST_W5RIH1,73.18,9,5,0
CUST_9XMK30,46.47,73,5,1
CUST_FW9B49,167.15,79,18,1
CUST_AXOV64,145.76,55,5,0
CUST_D7Y3U7,100.74,46,19,0
CUST_FD0BVN,101.65,62,18,1
CUST_JE4LIM,182.63,18,12,0
CUST_0KKEOO,165.18,52,15,0
CUST_65ZD0P,155.1,84,7,0
CUST_SNPQ65,108.15,81,5,0
CUST_LD7ZA3,120.45,82,7,0
CUST_HBN26L,137.38,44,16,0
CUST_YJJ6K3,161.75,68,6,0
CUST_ZSF7S3,191.31,83,16,0
CUST_HVLCJ4,37.77,55,17,1
CUST_JEPA0B,34.65,46,11,0
CUST_6O910J,38.32,22,3,1
CUST_R0C1NN,71.68,69,17,0
CUST_1ZV91K,123.84,62,9,1
CUST_DCAUAW,197.74,27,6,0
CUST_T4P81O,68.67,43,17,0
CUST_YA55K8,161.99,84,2,1
CUST_CAW5AY,25.88,13,16,0
CUST_CC8STD,74.38,65,17,1
CUST_5GLGNJ,194.85,56,17,1
CUST_T5SIXQ,170.9,14,12,0
CUST_FJ5JC3,136.73,5,3,1
CUST_EMHZQV,67.52,56,10,1
CUST_YMLVUH,49.89,54,19,1
CUST_M7SO6T,109.45,36,16,1
CUST_6P3XK5,36.75,45,5,0
CUST_QPWRL6,31.19,37,9,1
CUST_862OS5,151.56,21,15,0
CUST_UEDJKJ,118.04,72,4,0
CUST_8VKOQ3,166.17,30,19,1
CUST_L8WZZQ,97.07,29,19,1
CUST_IFVIL4,29.52,44,18,0
CUST_11IJ74,101.47,45,11,0
CUST_DHLDTU,185.22,81,2,0
CUST_EECVI5,162.58,76,8,1
CUST_RP1XZ2,187.29,6,15,1
CUST_QMJU91,198.89,72,15,0
CUST_6YD2HU,172.29,18,11,0
CUST_TY0885,169.41,64,16,0
CUST_6GQESU,66.06,72,17,0
CUST_MAMCI0,45.6,20,10,0
CUST_JS99MG,137.54,18,1,0
CUST_AVEM6Y,190.51,11,10,1
CUST_ITOV5M,121.43,85,3,0
CUST_2UC29K,82.24,17,4,0
CUST_T7154G,182.52,13,18,1
CUST_L655PK,108.96,84,14,1
CUST_LOIS22,95.45,19,12,0
CUST_SQX6SG,104.62,88,2,1
CUST_TMVFDI,72.73,15,15,1
CUST_V0A5C3,64.32,8,10,0
CUST_IEONWU,144.66,52,11,1
CUST_1MTMOT,83.36,60,10,0
CUST_SQJU6R,195.82,58,7,1
CUST_BYH6IU,116.19,69,4,0
CUST_AT1GYL,172.09,34,11,0
CUST_701YSC,187.89,67,15,1
CUST_4S7MHZ,165.09,45,10,0
CUST_XGPMZT,135.41,48,9,0
CUST_T7DW5J,197.5,65,13,0
CUST_RB31Q0,183.38,29,17,1
CUST_PNW2KQ,167.4,35,8,0
CUST_BIH0QW,162.51,72,15,1
CUST_X59R38,135.66,66,2,0
CUST_KTTHTW,105.92,62,13,0
CUST_0A5OIQ,144.21,58,9,1
CUST_ULUJ2Q,72.4,85,9,1
CUST_ZEAN0I,117.56,27,9,1
CUST_PKZTDA,76.98,71,16,0
CUST_45BF2K,95.14,47,14,1
CUST_JMS847,74.47,38,6,1
CUST_FZXO44,189.43,79,3,0
CUST_MM3GA9,149.11,53,11,1
CUST_6Z1AFS,158.24,32,3,1
CUST_74VIOR,76.9,40,16,0
CUST_DVFIJB,151.97,74,4,0
CUST_B6I6TQ,23.43,87,6,1
CUST_5IN01M,119.47,77,8,0
CUST_GVQ6Q7,110.71,28,19,0
CUST_DLJ8GD,168.13,40,7,0
CUST_G7Z5TJ,163.25,77,2,1
CUST_AJKQ4Y,29.54,45,16,0
CUST_L4J67L,195.19,11,13,1
CUST_1P68K5,87.27,51,2,1
CUST_J596DU,112.34,17,14,1
CUST_2E7L59,145.44,21,6,1
CUST_KPNWCT,122.43,28,14,0
CUST_A96R9P,137.58,6,8,0
CUST_BV5YK6,94.68,42,13,0
CUST_TMAVSO,90.91,32,1,0
CUST_OG9G39,165.88,56,16,0
CUST_80QS2R,108.45,60,15,1
CUST_JQ4XJ7,140.78,19,12,0
CUST_4DV8NA,72.26,62,12,0
CUST_I4DSOQ,101.77,11,14,0
CUST_LEBMCS,36.99,63,18,0
CUST_FXEF42,191.1,79,15,1
CUST_W8NAML,177.61,55,11,0
CUST_6ZCQ7O,88.8,65,1,1
CUST_RWHGDU,195.6,30,17,1
CUST_U4CNJ2,143.38,49,14,0
CUST_FYV7F3,136.11,34,19,0
CUST_K3X3V2,194.76,84,12,1
CUST_6RO72U,84.89,66,2,0
CUST_POVXLH,49.04,11,7,1
CUST_XLB5UD,187.03,32,16,1
CUST_IM6ZE0,184.51,57,11,1
CUST_NUHHY9,57.75,80,12,1
CUST_MZ8R7Y,97.5,59,16,1
CUST_HGIUYL,80.6,31,18,0
CUST_Y175AP,72.56,77,10,1
CUST_ZH14Y6,32.2,38,11,1
CUST_QCUD86,63.84,29,8,0
CUST_T2H47M,24.05,15,11,0
CUST_U3IQ4X,199.95,78,5,0
CUST_B9NCOY,168.46,85,17,0
CUST_407V69,52.75,77,2,1
CUST_JSIBZX,156.77,79,17,1
CUST_S8UC0L,135.79,89,3,1
CUST_UCHSVT,162.69,42,1,0
CUST_AYBFBF,66.02,70,13,1
CUST_X8UX0L,149.34,5,1,1
CUST_I7AFPQ,27.86,62,5,0
CUST_8XAVFA,67.77,50,13,1
CUST_HITH0L,153.05,57,17,0
CUST_R9M7U3,199.82,8,8,1
CUST_ZWYKHH,174.44,19,15,0
CUST_T9UKHY,77.77,18,5,1
CUST_E4EY5G,117.98,76,11,0
CUST_FIWD0L,89.8,69,14,1
CUST_UMUANE,146.74,80,16,0
CUST_TFU3NC,95.89,60,7,1
CUST_5VF55C,111.08,16,15,0
CUST_94SJJ1,149.33,68,2,1
CUST_MEYP8G,93.64,73,18,0
CUST_C7R986,46.14,10,12,1
CUST_VSTWPR,113.77,67,5,0
CUST_IMHCFI,115.34,82,13,0
CUST_NFF3HE,131.51,19,13,0
CUST_GKJ4RM,111.89,9,14,0
CUST_5B1EVM,161.87,83,10,0
CUST_TSXJT8,161.81,42,17,1
CUST_2B0930,125.21,37,9,1
CUST_0NGDZT,33.99,34,6,0
CUST_WOYI3R,95.85,44,4,0
CUST_XVY0HL,168.26,84,17,1
CUST_I6O851,25.1,24,4,0
CUST_PWRZHT,100.28,55,8,1
CUST_RLSAWV,108.27,36,12,1
CUST_KVXSOZ,87.42,80,11,1
CUST_XFP7C7,169.45,78,19,1
CUST_GH6FQR,196.43,13,8,1
CUST_OFY4LC,37.48,7,10,0
CUST_GVL08Y,65.96,84,14,0
CUST_5TPOKU,66.39,44,10,1
CUST_0WUS62,88.55,25,4,1
CUST_8X2QEH,50.85,88,7,0
CUST_CMDOTK,190.78,86,17,1
CUST_MVKW70,112.03,16,13,0
CUST_4OI0P6,102.34,57,4,1
CUST_CACEBD,23.99,54,15,1
CUST_Y3RJQ5,115.34,62,18,0
CUST_CKXLIN,53.23,7,2,0
CUST_NLBWZT,158.81,64,14,1
CUST_K01YJH,67.61,44,9,1
CUST_9EH8YC,85.22,78,3,1
CUST_RYERM7,28.46,40,16,1
CUST_2ONHSS,40.7,57,12,0
CUST_E00JAJ,22.6,7,3,1
CUST_MNBXFG,115.49,48,11,1
CUST_YJYVZG,136.45,16,17,0
CUST_V6KSMS,195.97,43,2,0
CUST_WRDUP3,71.99,64,5,0
CUST_DUOJ7W,171.28,82,6,0
CUST_I4IC0U,133.58,67,7,1
CUST_HKFDJO,29.55,39,15,0
CUST_TV5GLN,34.12,40,4,0
CUST_PL8SQN,113.7,84,9,1
CUST_XV4XTN,183.02,6,19,0
CUST_JOK4W3,119.56,20,14,0
CUST_C544ZF,184.99,20,13,0
CUST_DLBE0F,70.52,40,18,0
CUST_LAXF4V,115.46,14,2,1
CUST_R73TA0,116.74,25,14,1
CUST_NI08TI,197.98,40,10,1
CUST_C7BEGR,107.66,57,19,1
CUST_G22I8W,72.9,14,12,0
CUST_TRJAZN,121.38,29,6,0
CUST_JXXP1J,76.27,62,13,1
CUST_TQ4ZTD,80.79,54,19,1
CUST_6IVOBE,131.09,14,17,1
CUST_1OQ54P,84.33,60,5,0
CUST_MA67GS,22.71,6,10,0
CUST_6ME277,173.95,18,15,0
CUST_MW3LV2,157.37,36,14,0
CUST_ZVKQXB,71.3,54,19,1
CUST_FJODIM,39.48,54,6,0
CUST_JMEEQF,81.32,30,19,0
CUST_VL787U,27.68,80,12,0
CUST_7LWLGV,106.58,59,12,1
CUST_MFDRH0,181.34,21,5,1
CUST_06T7TU,130.33,26,7,1
CUST_O5JIGG,54.44,38,6,1
CUST_1CPMDM,32,81,19,1
CUST_GAN7U0,28.5,52,2,0
CUST_SPZ3UI,124.5,6,17,1
CUST_H3SLHS,69.5,71,12,1
CUST_N8IHQO,162.94,52,3,0
CUST_T086RR,39.71,74,8,0
CUST_BX7TKR,49.69,24,9,1
CUST_NQ5322,27.15,83,12,1
CUST_65X928,48.08,30,15,0
CUST_78MYB1,21.38,64,7,1
CUST_224R7D,198.76,50,6,0
CUST_TXYADW,176.69,84,14,0
CUST_UZBGZM,53.15,48,8,0
CUST_S926S1,61.07,68,13,1
CUST_S91SVS,20.92,66,15,0
CUST_3P2346,55.22,12,2,0
CUST_H239GQ,199.18,81,1,1
CUST_TX2PGC,181.72,58,4,1
CUST_EZ7G67,133.43,82,19,1
CUST_OZPTPF,185.79,39,18,1
CUST_3AB7TX,101.51,22,7,1
CUST_LVFJRT,197.78,43,14,0
CUST_7E39QV,70.03,66,13,0
CUST_L7R0UZ,29.72,68,6,0
CUST_TN5YDI,68.02,64,2,1
CUST_9VSZG3,138.27,36,3,0
CUST_XSCKOT,153.74,70,1,0
CUST_Z75I4B,53.26,77,7,1
CUST_SCA84J,37.09,10,5,0
CUST_3DTCJN,146.97,5,4,0
CUST_G1DVPH,60.78,51,9,1
CUST_4DBANL,130.37,42,6,0
CUST_P4PTXB,91,16,13,0
CUST_OU2ZXO,93.28,70,6,0
CUST_CQX0TR,124.23,73,10,0
CUST_TRW69R,94.16,12,5,1
CUST_ORMZEA,42.96,57,6,1
CUST_EIG7Y1,81.95,42,14,1
CUST_EE63NF,134.13,15,19,0
CUST_TN5SUO,36.63,13,6,0
CUST_RA3KK8,138.87,20,4,0
CUST_UZA6KN,122.81,56,11,1
CUST_9SXYPT,120.43,22,1,0
CUST_SAUS09,133.42,63,5,0
CUST_VPDKB7,31.84,61,15,1
CUST_64333J,126.23,60,17,0
CUST_V6UNQL,50.62,18,17,1
CUST_UN2PBU,168.18,57,5,1
CUST_FF9TAY,135.47,11,9,1
CUST_452IH6,161.13,53,2,1
CUST_4VHF62,132.93,65,1,1
CUST_ZSUVQB,104.79,50,5,0
CUST_XZ2RQP,179.97,22,15,1
CUST_2525GQ,61.66,42,17,0
CUST_93ZV2K,142.18,42,9,0
CUST_M23CV1,91.62,59,11,1
CUST_CRTF4U,161.26,61,16,0
CUST_WN95HG,191.62,78,3,0
CUST_IVVP25,122.4,29,6,1
CUST_2U8ZLI,172.49,11,13,0
CUST_9P9D1S,74.73,89,5,0
CUST_CJLNU1,169.03,19,8,1
CUST_T8XQTF,46.21,38,7,0
CUST_YTPYNU,171.57,7,3,0
CUST_0RDCDE,70.11,68,19,1
CUST_LFLB5S,108.43,80,13,0
CUST_AJTIKI,166.01,64,10,1
CUST_COV6EY,167.29,70,7,0
CUST_G1T86N,29.5,60,15,0
CUST_ZYN9BO,97.68,76,7,1
CUST_0B8HIN,36.88,88,10,0
CUST_CGFQR9,158.12,83,13,0
CUST_U089M1,66.75,46,1,1
CUST_OO8BXH,27.54,30,10,0
CUST_YNM9HA,89.5,84,9,0
CUST_FG93NW,44.81,31,19,0
CUST_H4NZX3,198.19,78,1,0
CUST_ON73RX,56.56,61,16,0
CUST_RHH9II,109.73,74,6,0
CUST_2DQ25U,164.12,23,14,0
CUST_135WMK,82.14,62,2,0
CUST_ZRWAYD,199.18,73,7,1
CUST_NFR2FQ,199.66,87,8,1
CUST_3OMVSE,139.38,41,19,1
CUST_R0BZZQ,55.72,35,16,1
CUST_ZY6PTL,42.99,14,19,1
CUST_FLUWOI,168.86,24,5,1
CUST_5R6B5J,61.2,89,1,0
CUST_LIGHR8,136.42,88,12,1
CUST_GD1B6J,123.4,57,19,1
CUST_ANNSPO,49.57,15,7,1
CUST_A8D38V,76.58,83,9,1
CUST_EDQLUZ,121.37,62,13,1
CUST_VKTZG4,20.71,54,15,0
CUST_86AULU,119.08,76,9,0
CUST_UUHKUI,148.03,5,8,1
CUST_D81QKV,96.42,28,4,1
CUST_YRHCU6,85.63,19,8,1
CUST_EMHEBK,105.93,25,10,0
CUST_14RRQD,51.56,77,4,1
CUST_NVG4J2,191.48,65,10,1
CUST_ZFSNC9,57.35,77,8,0
CUST_MHVXDY,165.4,84,14,1
CUST_ECYNC5,68.15,68,10,1
CUST_BDKTMI,99.35,77,6,1
CUST_M5YLHY,80,43,4,0
CUST_CVRK2A,105.32,29,2,1
CUST_UHCXUW,132.25,21,15,1
CUST_OQTOY0,134.43,51,14,0
CUST_DEPWRU,105.12,25,6,0
CUST_0WCPLE,90.56,75,8,1
CUST_V8MURC,92.28,73,5,0
CUST_HUEDYC,81.53,70,16,1
CUST_ST3RWO,106.91,75,14,1
CUST_JO1RX7,29.64,83,18,1
CUST_6PMMKJ,121.17,57,8,0
CUST_C0IFE0,168.58,29,4,0
CUST_0YSGPX,23.08,55,18,1
CUST_7DTNB2,27.14,32,11,0
CUST_R5JGGK,199.31,81,17,0
CUST_PMR8TT,44.27,43,10,0
CUST_5S349L,77.82,22,7,0
CUST_QYGU1H,41.29,47,13,1
CUST_9XVG69,164.73,10,14,0
CUST_ZC320F,119.15,46,2,0
CUST_T64WNO,176.91,22,16,0
CUST_H0CFOP,67.7,79,18,0
CUST_TF0QU6,185.75,83,3,0
CUST_NLEP83,83.21,34,16,1
CUST_3AUFK5,132.58,58,7,1
CUST_N6E2GD,118.71,66,10,1
CUST_J7WAS9,87.61,59,9,1
CUST_B8VNFR,116.21,53,6,1
CUST_RWGDH9,64.95,70,12,0
CUST_TAPNB0,53.88,81,19,0
CUST_KMXLZ6,137.3,30,5,0
CUST_UVBRVE,48.37,16,2,1
CUST_XL1V78,187.38,53,11,1
CUST_U6SF3F,54.89,35,7,0
CUST_J6G2UH,46.46,89,8,1
CUST_9OTQ1K,107.07,30,4,1
CUST_PW7PQS,32.1,81,9,0
CUST_P1MTCL,26.32,54,1,1
CUST_0AWTSF,92.17,80,3,0
CUST_UM6DSS,177.93,22,5,1
CUST_8EGXGV,26.83,75,15,0
CUST_M61N35,120.74,78,12,1
CUST_MRQH21,173.89,16,16,1
CUST_GV0RT6,89.72,32,10,0
CUST_CUK3BD,52.31,9,10,1
CUST_YM6I58,94.62,63,8,0
CUST_XUQG9A,82.32,86,3,0
CUST_6V6HJ7,151.26,88,3,0
CUST_5TQ7DD,72.31,61,18,1
CUST_OK6PUM,42.39,10,18,1
CUST_HCXS2X,71.16,22,14,1
CUST_NR3JMQ,143.9,8,2,1
CUST_NEKNQI,96.48,45,13,1
CUST_5KD336,114.01,21,2,0
CUST_F32PS2,55.13,51,18,0
CUST_5QXG7L,152.65,38,4,1
CUST_OLXH7F,72.39,23,12,1
CUST_BXIJ3N,93.34,74,9,0
CUST_VBE4H0,84.92,47,17,1
CUST_PVM5DI,149.62,24,7,0
CUST_FDKHUB,50.01,38,15,1
CUST_5P9ST7,171.93,33,15,1
CUST_EEIGSU,198.49,46,18,1
CUST_HE4YTJ,45.28,6,2,1
CUST_LG5DVT,98.59,39,11,1
CUST_31DH8I,181.04,48,5,1
CUST_MCBWC0,93.99,80,6,1
CUST_UC32LA,85.55,33,4,1
CUST_EA95KF,166.36,83,16,1
CUST_8MDNSR,31.51,8,14,1
CUST_BS26NI,112.5,11,10,0
CUST_V6KJHN,183.55,8,3,1
CUST_8NCHTU,43.92,58,9,0
CUST_XAF8TG,92.39,27,10,1
CUST_70GE6M,146.64,72,5,1
CUST_35X2JU,61.89,57,1,1
CUST_TEOWYU,145.28,18,4,0
CUST_9O5GBY,154.3,27,15,0
CUST_CEHHZT,21.72,67,7,1
CUST_5GT0UL,86.37,80,17,0
CUST_20Q4Y6,54.42,5,4,0
CUST_QRHZ9A,159.72,47,14,0
CUST_MTKAJ2,132.54,17,6,0
CUST_917SAM,170.72,35,4,0
CUST_TSZK4F,59.05,18,8,0
CUST_E8LUMX,133.59,59,17,1
CUST_YVO5QE,83.31,63,9,0
CUST_VBPNU9,119.13,78,5,0
CUST_8DTZYO,122.91,63,18,1
CUST_9KXQT7,66.12,55,9,1
CUST_3U88TQ,47.55,23,11,1
CUST_GG4GTN,38.55,50,16,1
CUST_ACKHGP,60,34,16,0
CUST_9XJB8D,76.06,25,10,0
CUST_WI6CCJ,157.82,10,11,1
CUST_2Q78GD,168.43,32,15,0
CUST_511Z6P,148.07,71,6,1
CUST_EKWLLQ,110.23,43,16,0
CUST_FX9MWM,70.73,10,2,1
CUST_08ZY1K,66.32,89,2,1
CUST_5IRLFT,184.09,86,1,1
CUST_L8QRCZ,44.77,6,4,1
CUST_UL4H5R,96.07,15,4,0
CUST_DRO9JK,171.63,28,8,1
CUST_HKTS0T,50.74,73,9,0
CUST_65KYTC,165.48,60,6,0
CUST_55G0B9,27.95,39,19,0
CUST_AQAUJ8,124.94,58,1,1
CUST_253BDM,83.69,86,4,1
CUST_CATBW7,177.53,48,14,0
CUST_XGTAMS,53.17,67,13,0
CUST_G0AMV0,52.13,72,9,0
CUST_OC44A0,164.86,39,3,0
CUST_7ZS05R,117.2,35,10,0
CUST_P4SEBY,134.93,66,19,1
CUST_RSF4OV,199.62,16,15,1
CUST_L1ER3V,63.05,87,7,0
CUST_9Q0OZY,182.36,56,14,0
CUST_FIJPR5,122.85,62,14,1
CUST_LG0KFJ,84.74,44,3,1
CUST_8OU4D6,139.98,84,1,1
CUST_2QCKWF,83.39,37,15,0
CUST_REKKSM,78.06,39,5,1
CUST_95Z9X6,51.67,68,14,0
CUST_VTP0HG,112.7,34,7,1
CUST_S89HPV,148.4,82,3,0
CUST_FZ6COV,46.34,45,9,1
CUST_X6YD3H,101.02,63,13,1
CUST_73ZOQI,156.45,28,4,0
CUST_KPCW4N,191.16,69,2,0
CUST_8NTDVF,74.59,50,17,1
CUST_RIBL8L,63.96,49,18,0
CUST_XN0AHC,87.79,15,19,1
CUST_JOKCJ4,34.6,85,7,1
CUST_3FDCBB,58.7,13,6,0
CUST_KEFSKW,97.27,41,5,0
CUST_7P2UHA,43.57,45,17,1
CUST_VKQH9K,54.27,12,4,1
CUST_3YT1V3,20.74,66,16,0
